Adams County Sheriff’s OfficeBrighton, Colorado
Charlottesville Police DepartmentCharlottesville, Virginia
Chesterfield County Sheriff’s OfficeChesterfield County, Virginia
Chicago Police DepartmentChicago, Illinois
Cincinnati Police DepartmentCincinnati, Ohio
City of Duluth Police DepartmentDuluth, Minnesota
City of Birmingham Police DepartmentBirmingham, Alabama
City of Edmonton Police DepartmentEdmonton, Alberta, Canada
City of Henderson Police DepartmentHenderson, Nevada
City of Milford Police DepartmentMilford, Delaware
City of Morgantown Police DepartmentMorgantown, West Virginia
City of Portland Police DepartmentPortland, Maine
City of Rio Dell Police DepartmentRio Dell, California
City of Urbana Police DepartmentUrbana, Lllinois
City of Walnut Creek Police DepartmentWalnut Creek, California
Clark Atlanta University Police DepartmentAtlanta, Georgia
Clarke County Sheriff’s OfficeAthens, Georgia
Clay County Sheriff’s OfficeLiberty, Missouri
Cleveland Metroparks Police DepartmentCleveland, Ohio
Coastal Pines Technical College Police DepartmentWaycross, Georgia
Cobb County Sheriff’s OfficeMarietta, Georgia
Colony Police DepartmentThe Colony, Texas
Colorado State University Police DepartmentFort Collins, Colorado
Columbia Police DepartmentColumbia, South Carolina
Columbus Division of PoliceColumbus, Ohio
Cook County Sheriff’s OfficeMaywood, Illinois
Cookeville Police DepartmentCookeville, Tennessee
Culpeper Police DepartmentCulpeper, Virginia
Dallas Police DepartmentDallas, Texas
Dallas College Police DepartmentDallas, Texas
Dane County Sheriff’s OfficeDane County, Wisconsin
Dayton Police DepartmentDayton, Ohio
Delaware State PoliceDover, Delaware
Delta Police DepartmentDelta, British Columbia, Canada
Denton Police DepartmentDenton, Texas
Denver Police DepartmentDenver, Colorado
Department of Alcoholic Beverage ControlSacramento, CA
Department of Air Force Reserve CommandRobins Air Force Base, Georgia
Des Moines Police DepartmentDes Moines, Iowa
Drexel University Police DepartmentPhiladelphia, Pennsylvania
Dubuque Police DepartmentDubuque, Iowa
Durango Police DepartmentDurango, Colorado
Durham Police DepartmentDurham, North Carolina
Dunwoody Police DepartmentDunwoody, Georgia
East Hartford Police DepartmentEast Hartford, Connecticu
Ector County ISD Police DepartmentOdessa, Texas
Elgin Police DepartmentElgin, Illinois
Elizabethtown Police DepartmentElizabethtown, Pennsylvania
Elon Police DepartmentElon, North Carolina
Emory University Police DepartmentAtlanta, Georgia
Evansville Police DepartmentEvansville, Indiana
Evesham Police DepartmentEvesham, New Jersey
Fairfax County Police DepartmentFairfax County, Virginia
Fairfield Police DepartmentFairfield, California
Fargo Police DepartmentFargo, North Dakota
Fayetteville Police DepartmentFayetteville, North Carolina
Federal Bureau of Investigation (FBI)Washington, District of Columbia
Fitchburg Police DepartmentFitchburg, Wisconsin
Florida State University Police DepartmentTallahassee, Florida
Flower Mound Police DepartmentFlower Mound, Texas
Forest Heights Police DepartmentForest Heights, Maryland
Fort Morgan Police DepartmentFort Morgan, Colorado
Fort Wayne Police DepartmentFort Wayne, Indiana
Fort Worth Police DepartmentFort Worth, Texas
Foster City Police DepartmentFoster City, California
Franklin County Sheriff’s OfficeColumbus, Ohio
Frederick Police DepartmentFrederick, Maryland
Fremont Police DepartmentFremont, California
Fresno Police DepartmentFresno, California
Fuquay-Varina Police DepartmentFuquay-Varina, North Carolina
Gallup Police DepartmentGallup, New Mexico
Garfield Police DepartmentGarfield, New Jersey
Garner Police DepartmentGarner, North Carolina
Georgetown Police DepartmentGeorgetown, Texas
Gilbert Police DepartmentGilbert, Arizona
Golden Valley PDGolden Valley, Minnesota
Grand Junction Police DepartmentGrand Junction, Colorado
Grand Prairie Police DepartmentGrand Prairie, Texas
Grants Pass Department of Public SafetyGrants Pass, Oregon
Greater Cleveland Regional Transit Authority Police DepartmentCleveland, Ohio
Greeley Police DepartmentGreeley, Colorado
Grove City Division of PoliceGrove City, Ohio
Hanover Park Police DepartmentHanover Park, Illinois
Harris County Sheriff’s OfficeHouston, Texas
Hatfield Township Police DepartmentHatfield Township, Pennsylvania
Hamilton County Sheriff’s OfficeChattanooga, Tennessee
Hayward Police DepartmentHayward, California
Hazel Crest Police DepartmentHazel Crest, Illinois
Henrico County Police DivisionHenrico, Virginia
Hennepin County Police DepartmentHennepin County, Minnesota
Herndon Police DepartmentHerndon, Virginia
Hillsborough County Sheriff’s OfficeTampa, Florida
Horizon City Police DepartmentHorizon City, Texas
Houston Police DepartmentHouston, Texas
Howard County Police DepartmentEllicott City, Maryland
Hyattsville Police DepartmentHyattsville, Maryland
Illinois Department of RevenueSpringfield, Illinois
Illinois State PoliceSpringfield, Illinois
Indiana University Police DepartmentBloomington, Indiana
Indianapolis Metropolitan Police DepartmentIndianapolis, Indiana
Iowa Department of Public SafetyDes Moines, Iowa
Iowa State University Police DepartmentAmes, Iowa
Jacksonville Police DepartmentJacksonville, Arkansas
Jefferson County Sheriff’s OfficeLouisville, Kentucky
Jefferson County Sheriff’s OfficeGolden, Colorado
Johns Hopkins Public SafetyBaltimore, Maryland
Kansas City Police DepartmentKansas City, Missouri
Kearney Police DepartmentKearney, Nebraska
Kent Police DepartmentKent, Washington
Kissimmee Police DepartmentKissimmee, Florida
Lacey Police DepartmentLacey, Washington
Lancaster City Bureau of PoliceLancaster, Pennsylvania
Landsdale Police DepartmentLansdale, Pennsylvania
Las Vegas Department of Public SafetyLas Vegas, Nevada
Lawton Police DepartmentLawton, Oklahoma
Leesburg Police DepartmentLeesburg, Virginia
Lehigh University Police DepartmentBethlehem, Pennsylvania
Lexington Police DepartmentLexington, Massachusetts
Lincoln Police and Fire DepartmentLincoln, California
Lodi Police DepartmentLodi, California
Long Beach Police DepartmentLong Beach, California
Los Angeles Police DepartmentLos Angeles, California
Los Angeles County Sheriff’s DepartmentLos Angeles, California
Louisville Metro Police DepartmentLouisville, Kentucky
Macomb Police DepartmentMacomb, Illinois
Madison Police DepartmentMadison, Wisconsin
Manchester Police DepartmentManchester, New Hampshire
Maricopa County Sheriff’s OfficePhoenix, Arizona
Marina Police DepartmentMarina, California
Marshalltown Police DepartmentMarshalltown, Iowa
Maryland-National Capital Park Police Department, Prince George’s County DivisionLandover, Maryland
Maryland Natural Resources PoliceStevensville, Maryland
Massachusetts State PoliceBoston, Massachusetts
Massachusetts Dept. of State PoliceFramingham, Massachusetts
Medical University of South Carolina Department of Public SafetyCharleston, South Carolina
Memphis Police DepartmentMemphis, Tennessee
Menlo Park Police DepartmentMenlo Park, California
Meriden Police DepartmentMeriden, Connecticut
Mesa Police DepartmentMesa, Arizona
Metropolitan Nashville Police DepartmentNashville, Tennessee
Metropolitan Transit Authority of Harris County Police DepartmentHouston, Texas
Metropolitan Washington Airports Authority Police DepartmentWashington, District of Columbia
Miami Police DepartmentMiami, Florida
Miami Beach Police DepartmentMiami Beach, Florida
Michigan State PoliceDimondale, Michigan
Michigan State University Police and Public SafetyEast Lansing, Michigan
Middleton Police DepartmentMiddleton, Wisconsin
Milford Police DepartmentMilford, Connecticut
Millersville University Police DepartmentMillersville, Pennsylvania
Milwaukee Police DepartmentMilwaukee, Wisconsin
Minneapolis Police DepartmentMinneapolis, Minnesota
Minnesota Metro Transit Police DepartmentMinneapolis, Minnesota
Minnesota State PatrolSaint Paul, Minnesota
Mississippi State University Police DepartmentMississippi State, Mississippi
Montgomery County Police DepartmentGaithersburg, Maryland
Muskogee Police DepartmentMuskogee, Oklahoma
New Bedford Police DepartmentNew Bedford, Massachusetts
New Bern Police DepartmentNew Bern, North Carolina
New Haven Police DepartmentNew Haven, Connecticut
New Jersey Institute of Technology Police DepartmentNewark, New Jeresy
New Orleans Police DepartmentNew Orleans, Louisiana
Newport Police DepartmentNewport, Rhode Island
Newport News Police DepartmentNewport News, Virginia
New Smyrna Beach Police DepartmentNew Smyrna Beach, Florida
New York City Police DepartmentNew York, New York
NYS Dept. of Environmental Conservation Division of Forest ProtectionAlbany, New York
NYS Dept. of Environmental Conservation Division of Law EnforcementAlbany, New York
New York State PoliceAlbany, New York
New York State University PoliceAlbany, New York
New York State University Police at Alfred State CollegeAlfred, New York
New York State University Police at Buffalo State CollegeBuffalo, New York
New York State University Police at Purchase CollegePurchase, New York
New York State University Police at SUNY BrockportBrockport, New York
New York State University Police at SUNY CantonCanton, New York
New York State University Police at SUNY CobleskillCobleskill, New York
New York State University Police at SUNY CortlandCortland, New York
New York State University Police at SUNY College of Environmental Science & ForestrySyracuse, New York
New York State University Police at SUNY Maritime CollegeThroggs Neck, New York
New York State University Police at SUNY MorrisvilleMorrisville, New York
New York State University Police at SUNY New PaltzNew Paltz, New York
New York State University Police at SUNY PlattsburghPlattsburgh, New York
New York State University Police at SUNY Stony Brook UniversityStony Brook, New York
New York State University Police at University of AlbanyAlbany, New York
New York State University Police at University of BuffaloBuffalo, New York
New York State University Police at Upstate Medical UniversitySyracuse, New York
Noblesville Police DepartmentNoblesville, Indiana
Normal Police DepartmentNormal, Illinois
Northampton Police DepartmentNorthampton, Massachusetts
North Dakota Highway PatrolBismarck, North Dakota
Northern Illinois University Police DepartmentDeKalb, Illinois
North Las Vegas Police DepartmentNorth Las Vegas, Nevada
North Miami Police DepartmentMiami, Florida
North Palm Beach Police DepartmentNorth Palm Beach, Florida
Oakland Police DepartmentOakland, California
Oakland Housing Authority Police DepartmentOakland, California
Oak Park Police DepartmentOak Park, Illinois
Ohio State Highway PatrolColumbus, Ohio
Orange County Sheriff’s OfficeOrange County, Florida
Oregon State PoliceSalem, Oregon
Oregon State University Police DepartmentCorvallis, Oregon
Orlando Police DepartmentOrlando, Florida
Osceola County Sheriff’s OfficeKissimmee, Florida
Oswego City Police DepartmentOswego, New York
Overland Park Police DepartmentOverland Park, Kansas
Palomar College Police DepartmentSan Marcos, California
Paterson Police DepartmentPaterson, New Jeresy
Peel Regional PoliceMississauga, Ontario, Canada
Peoria Police DepartmentPeoria, Illinois
Penn State University Police and Public SafetyCentre County, Pennsylvania
Philadelphia Police DepartmentPhiladelphia, Pennsylvania
Phoenix Police DepartmentPhoenix, Arizona
Pine Bluff Police DepartmentPine Bluff, Arkansas
Port Authority Technical CenterJersey City, New Jeresy
Port St. Lucie Police DepartmentPort St. Lucie, Florida
Portland Police BureauPortland, Oregon
Portsmouth Police DepartmentPortsmouth, Virginia
Portsmouth Police DepartmentPortsmouth, New Hampshire
Prince George’s County Police DepartmentUpper Marlboro, Maryland
Public Safety Department | Babson CollegeBabson Park, Massachusetts
Pulaski Police DepartmentPulaski, Virginia
Queen Creek Police DepartmentQueen Creek, Arizona
Radford University Police DepartmentRadford, Virginia
Raleigh Police DepartmentRaleigh, North Carolina
Rantoul Police DepartmentRantoul, Illinois
Redlands Police DepartmentRedlands, California
Richmond Police DepartmentRichmond, Virginia
Regina Police ServiceRegina, Saskatchewan, Canada
Regional Transportation District Police DivisionDenver, Colorado
Richmond Police DepartmentRichmond, California
Richland Police DepartmentRichland, Washington
Riverview Police DepartmentRiverview, Michigan
Rochester Police DepartmentRochester, New York
Rockford Police DepartmentRockford, Illinois
Rutgers University Police DepartmentNew Brunswick, New Jersey
Saanich Police DepartmentVictoria, BC, Canada
Sacramento Police DepartmentSacramento, California
Saint Paul Police DepartmentSaint Paul, Minnesota
Salem Police DepartmentSalem, Oregon
Salina Police DepartmentSalina, Kansas
Salisbury Police DepartmentSalisbury, North Carolina
Salt Lake County SheriffSalt Lake County, Utah
San Antonio Police DepartmentSan Antonio, Texas
San Diego Police DepartmentSan Diego, California
San Francisco Police DepartmentSan Francisco, California
San Francisco Sheriff’s OfficeSan Francisco, California
San José Police DepartmentSan José, California
San Leandro Police DepartmentSan Leandro, California
San Mateo County Sheriff’s OfficeRedwood City, California
Santa Ana Police DepartmentSanta Ana, California
Santa Clara County Office of the SheriffSan Jose, California
Santa Rosa Police DepartmentSanta Rosa, California
Saranac Lake Police DepartmentSaranac Lake, New York
Sarpy County Sheriff’s OfficePapillion, Nebraska
Savannah Police DepartmentSavannah, Georgia
Schenectady Police DepartmentSchenectady, New York
Seat Pleasant Police DepartmentSeat Pleasant, Maryland
Seattle Police DepartmentSeattle, Washington
Social Security Administration Office of the Inspector General (SSA OIG)Washington, D.C.
South Burlington Police DepartmentSouth Burlington, Vermont
South Dakota Highway PatrolPierre, South Dakota
South San Francisco Police DepartmentSouth San Francisco, California
Sparks Police DepartmentSparks, Nevada
Springfield Police DepartmentSpringfield, Missouri
Suffolk Police DepartmentSuffolk, Virginia
Suffolk County Sheriff’s OfficeRiverhead, New York
Suffolk County Police DepartmentYaphank, New York
Suisun City Police DepartmentSuisun City, California
Supreme Court of the United States PoliceWashington, District of Columbia
Surrey Police ServiceSurrey, BC, Canada
St. Louis County Police DepartmentSt. Louis, Missouri
St. Louis Metropolitan Police DepartmentSt. Louis, Missouri
Stanford University Department of Public SafetyStanford, California
Tacoma Police DepartmentTacoma, Washington
Takoma Park Police DepartmentTakoma Park, Maryland
Tampa Police DepartmentTampa, Florida
Tempe Police DepartmentTempe, Arizona
Texas State University Police DepartmentSan Marcos, Texas
The Colony Police DepartmentThe Colony, Texas
Toledo Police DepartmentToledo, Ohio
Torrance Police DepartmentTorrance, California
Tucson Police DepartmentTucson, Arizona
Union Beach Police DepartmentUnion Beach, New Jeresy
United States Capitol PoliceWashington, District of Columbia
United States Secret ServiceWashington, District of Columbia
University of Arizona Police DepartmentTuscon, Arizona
University of California Santa Barbara Police DepartmentSanta Barbara, California
University of California San Francisco Police DepartmentSan Francisco, California
University of California Police Department, DavisDavis, California
University of California Police Department, IrvineIrvine, California
University of California Police Department, Los AngelesLos Angeles, California
University of California San Diego Police DepartmentLa Jolla, California
University of Colorado Boulder Police DepartmentBoulder, Colorado
University of Delaware Police DepartmentNewark, Delaware
University of Georgia Police DepartmentAthens, Georgia
University of Illinois Division of Public SafetyUrbana, Illinois
University of Iowa Police DepartmentIowa City, Iowa
University of Mississippi Medical Center Police DepartmentJackson, Mississippi
University of Nebraska, Omaha/University of Nebraska Medical Center Department of Public SafetyOmaha, Nebraska
University of Nevada, Reno Police Department-Northern CommandReno, Nevada
University of Nevada Police Services, Southern CommandLas Vegas, Nevada
University of New Hampshire Police DepartmentDurham, New Hampshire
University of North Texas Police DepartmentDenton, Texas
University of Oregon Police DepartmentEugene, Oregon
University of Southern California Department of Public SafetyLos Angeles, California
University of Southern Maine Department of Public Safety at thePortland, Maine
University of Texas at Austin Police DepartmentAustin, Texas
University of Texas Police at HoustonHouston, Texas
University of Utah Police DepartmentSalt Lake City, Utah
University of Virginia Police DepartmentCharlottesville, Virginia
University of Wisconsin-Eau Claire Police DepartmentEau Claire, Wisconsin
University of Wisconsin-Madison Police DepartmentMadison, Wisconsin
University of Wisconsin-Milwaukee Police DepartmentMilwaukee, Wisconsin
Urbandale Police DepartmentUrbandale, Iowa
U.S. Drug Enforcement AdministrationWashington, District of Columbia
Utica Police DepartmentUtica, New York
Vallejo Police DepartmentVallejo, California
Vancouver Police DepartmentVancouver, Washington
Vermont Department of CorrectionsWaterbury, Vermont
Vermont Department of Fish and WildlifeMontpelier, Vermont
Vermont State PoliceWaterbury, Vermont
Virginia Beach Police DepartmentVirginia Beach, Virginia
Virginia Division of Capitol PoliceRichmond, Virginia
Waco Police DepartmentWaco, Texas
Warrenton Police DepartmentWarrenton, Virginia
Washington County Sheriff’s OfficeHillsboro, Oregon
Washington Metropolitan Police DepartmentWashington, District of Columbia
Washington State PatrolOlympia, Washington
Washington State University Police DepartmentPullman, Washington
Washoe County Sheriff’s OfficeReno, Nevada
Washtenaw County Sheriff’s OfficeAnn Arbor, Michigan
Waterloo Police DepartmentWaterloo, Iowa
Waukee Police DepartmentWaukee, Iowa
West Deptford Police DepartmentWest Deptford, New Jeresy
West Hempfield Township Police DepartmentLancaster, Pennsylvania
West Jordan Police DepartmentWest Jordan, Utah
West Memphis Police DepartmentWest Memphis, Arkansas
Westfield OFIC Police DepartmentWestfield Center, Ohio
Westminster Police DepartmentWestminster, Colorado
West Orange Police DepartmentWest Orange, New Jersey
Wethersfield Police DepartmentWethersfield, Connecticut
Wichita Police DepartmentWichita, Kansas
Williamsburg Police DepartmentWilliamsburg, Virginia
Yale University Police DepartmentNew Haven, Connecticut
Yuma Police DepartmentYuma, Arizona
